match_id,season,venue,team1,team2,toss_winner,toss_decision,batting_first_team,bowling_first_team,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,winner,win_by_runs,win_by_wickets,player_of_match_runs,player_of_match_wickets
1,2015,Rajiv Gandhi Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,bat,Punjab Kings,Mumbai Indians,174,6,147,8,Punjab Kings,27,0,82,1
2,2015,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,Royal Challengers Bangalore,191,5,102,10,Delhi Capitals,89,0,89,3
3,2015,Punjab Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,Mumbai Indians,182,8,150,4,Chennai Super Kings,32,0,89,2
4,2015,Arun Jaitley Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,Punjab Kings,171,5,105,4,Rajasthan Royals,66,0,73,1
5,2015,M. Chinnaswamy Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Capitals,Royal Challengers Bangalore,190,7,126,6,Delhi Capitals,64,0,70,0
6,2015,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,Kolkata Knight Riders,181,6,111,3,Mumbai Indians,70,0,34,1
7,2015,Arun Jaitley Stadium,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Delhi Capitals,194,7,141,10,Sunrisers Hyderabad,53,0,64,0
8,2015,Rajiv Gandhi Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,Mumbai Indians,165,7,132,7,Rajasthan Royals,33,0,80,2
9,2015,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Delhi Capitals,Royal Challengers Bangalore,180,5,113,4,Delhi Capitals,67,0,74,1
10,2015,Eden Gardens,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,184,4,117,5,Sunrisers Hyderabad,67,0,91,0
11,2015,Eden Gardens,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,Punjab Kings,176,6,94,8,Sunrisers Hyderabad,82,0,61,3
12,2015,Arun Jaitley Stadium,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,Punjab Kings,Royal Challengers Bangalore,169,4,101,5,Punjab Kings,68,0,31,1
13,2015,M.A. Chidambaram Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,Sunrisers Hyderabad,207,6,106,10,Mumbai Indians,101,0,46,2
14,2015,Rajiv Gandhi Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,Chennai Super Kings,198,6,149,6,Royal Challengers Bangalore,49,0,88,3
15,2015,Wankhede Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,Rajasthan Royals,193,4,141,3,Chennai Super Kings,52,0,79,2
16,2015,Wankhede Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,Kolkata Knight Riders,183,4,137,3,Chennai Super Kings,46,0,48,3
